epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1444.03,1.08442,2.77481,1.26149,0.23352,0.29863,0.21338,0.13465,1.12986,1.97627,1.40173,0.00999261,0.00333087,0.00999261,0.00333087,0.00999261,0.00333087,0.00999261,0.00333087
2,2748.94,1.21388,2.29743,1.30924,0.18331,0.25323,0.16425,0.09505,1.31942,2.17013,1.53702,0.019953,0.00665101,0.019953,0.00665101,0.019953,0.00665101,0.019953,0.00665101
3,4031.54,1.36884,2.5166,1.40465,0.14187,0.17329,0.09216,0.04992,1.55229,2.77832,1.74882,0.0298738,0.00995795,0.0298738,0.00995795,0.0298738,0.00995795,0.0298738,0.00995795
4,5310.07,1.44886,2.57835,1.47001,0.20272,0.2537,0.16488,0.08937,1.44807,2.32438,1.66961,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,6589.07,1.38251,2.46105,1.45039,0.23245,0.26677,0.19853,0.11297,1.34735,2.16826,1.59291,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,7863.38,1.33589,2.36298,1.43058,0.2325,0.27318,0.18791,0.11003,1.3243,2.18468,1.58123,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,9138.42,1.28886,2.25164,1.40899,0.2342,0.28187,0.20752,0.12087,1.32297,2.07713,1.59292,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,10411.4,1.24159,2.15158,1.37874,0.24321,0.33325,0.21636,0.13222,1.24017,2.07827,1.51061,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,11685,1.20922,2.07522,1.35339,0.23025,0.30637,0.20117,0.12175,1.26489,2.07148,1.52539,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,12960.9,1.18205,1.99202,1.33667,0.23521,0.31267,0.21965,0.13753,1.18076,1.97622,1.472,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,14236.2,1.17384,1.95888,1.33143,0.25656,0.28577,0.22096,0.13786,1.17148,1.97646,1.46722,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,15509.9,1.12695,1.8884,1.30997,0.25195,0.30656,0.2259,0.13914,1.19592,2.00133,1.48462,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,16787,1.10918,1.84358,1.2931,0.25722,0.32159,0.25193,0.15934,1.15374,1.8749,1.45135,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,18062.7,1.10076,1.80143,1.29032,0.26135,0.30811,0.24306,0.15548,1.17324,1.86889,1.47912,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,19341,1.07642,1.75534,1.27992,0.27146,0.3158,0.25888,0.16492,1.15428,1.8828,1.46695,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,20618.3,1.06182,1.69894,1.25819,0.27878,0.30591,0.26004,0.16788,1.12845,1.91509,1.43338,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,21896.9,1.04135,1.66223,1.24212,0.26516,0.33684,0.26025,0.16936,1.13396,1.85361,1.44354,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,23172.7,1.0242,1.61926,1.22895,0.27537,0.32961,0.26434,0.17134,1.13585,1.82777,1.4565,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,24448.6,1.01509,1.59128,1.22741,0.28019,0.31534,0.25418,0.16773,1.1154,1.98226,1.43147,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,25723.8,0.99566,1.53208,1.20959,0.28262,0.327,0.26582,0.17245,1.12128,1.91627,1.43502,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,27001.7,0.98302,1.5194,1.20615,0.28795,0.34977,0.27845,0.18457,1.08373,1.75557,1.41697,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,28285.3,0.96604,1.47377,1.19113,0.28611,0.33656,0.26684,0.17647,1.08964,1.79624,1.39824,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
